"pointid","xcoord","ycoord"
1,2009331.97370995,2484770.53975959
2,2009318.68780158,2486114.04750543
3,2009239.42045168,2483914.40622059
4,2009950.95959964,2483268.18901375
5,2009989.77472408,2481163.977389
6,2012770.86917498,2487311.3161592
7,2014424.54271609,2485186.72602161
8,2015047.20330811,2484704.28161788
9,2015273.96675087,2484127.85475498
10,2014495.66916087,2481783.78167921
11,2016175.40631839,2483350.33526547
12,2016272.60077958,2481010.44449234
13,2016528.64994079,2480828.32167768
14,2014335.80096022,2479427.15319554
15,2015815.14619158,2480873.316306
16,2016601.8886869,2485524.96813456
17,2017642.30924192,2482871.49696401
18,2016558.10005933,2483541.31768571
19,2017505.71775592,2482892.74827739
20,2018470.88816357,2481560.72063878
21,2018512.50288977,2481619.62187586
22,2019490.11030524,2481917.45926337
23,2016651.04291784,2480811.19396689
24,2016918.59688628,2480857.16599584
25,2021072.98810178,2480501.96747221
26,2021819.0872715,2480443.1778352
27,2021015.08506533,2476338.9751513
28,2021197.68488029,2477259.2744307
29,2018878.68842031,2475493.21391883
30,2020464.32371858,2474352.81210087
31,2020351.21534737,2478965.0401046
32,2020372.78386095,2478953.65559744
33,2019489.5681049,2477837.09009448
34,2020515.37355072,2478962.50470301
35,2018293.43315184,2478939.91848879
36,2019739.22986208,2479911.05340019
37,2019815.38141003,2480138.50084338
38,2019646.0158034,2480632.23775423
39,2019605.37677781,2480530.49969018
40,2019286.50807706,2481167.50339122
41,2020588.30269663,2483192.72226624
42,2020019.01733823,2483120.65572087
43,2020126.49230589,2482104.78828131
44,2020095.3763863,2481776.50077463
45,2021888.19861501,2483639.90224777
46,2021470.48055203,2484535.23681145
47,2021329.42326323,2485703.94894724
48,2021236.68520484,2485766.17648642
49,2021010.39046237,2485906.06817449
50,2019179.8381099,2485939.81539574
51,2001988.96038698,2484444.42215428
52,2004864.23299718,2484566.10163089
53,1996404.97847145,2481549.30653159
54,1995499.94460167,2481803.91239188
55,1993544.59317063,2480396.54010584
56,1993824.5816469,2479371.44026046
57,1991390.77151464,2477544.79271045
